id,name,category,type,color,cost,unit,onHand,supplier,notes
10in-pneu-tire-steel-hub,10IN PNEU TIRE STEEL HUB,Tires,,,8.99,each,0,,
13in-pneu-tire-steel-hub,13IN PNEU TIRE STEEL HUB,Tires,,,14.99,each,0,,
145-70-6-atv-go-kart-tire,ATV Go Kart Tires 145/70-6 With 6 Inch Wheels,Tires,,,44.75,each,0,,
abs-gf-bambu-100g,ABS-GF Bambu,Filament,ABS-GF,Black,2.39,per_100g,5,,
abs-gf-blue-100g,ABS-GF Blue,Filament,ABS-GF,Blue,2.39,per_100g,20,,
abs-gf-green-100g,ABS-GF Green,Filament,ABS-GF,Green,2.39,per_100g,20,,
abs-gf-red-100g,ABS-GF Red,Filament,ABS-GF,Red,2.39,per_100g,20,,
abs-gf-yellow-100g,ABS-GF Yellow,Filament,ABS-GF,Yellow,2.39,per_100g,20,,
anderson-connector,Anderson Powerpole 30A,Electronics,,,2.25,pair,0,,
assembly-time-15min,Assembly (15 min),Labor,,,3,per_unit,0,,
assembly-time-30min,Assembly (30 min),Labor,,,6,per_unit,0,,
bearing-6001zz,Bearing 6001ZZ,Hardware,,,1.5,each,0,,
bearing-608zz,Bearing 608ZZ,Hardware,,,1.25,each,0,,
box-large,Large Shipping Box,Packaging,,,3.5,each,21,,
box-medium,Medium Shipping Box,Packaging,,,2,each,22,,
box-small,Small Shipping Box,Packaging,,,1.25,each,0,,
bubble-wrap,Bubble Wrap,Packaging,,,0.75,per_order,0,,
dewalt-connector,DeWalt Battery Connector,Electronics,,,35,each,0,,
electricity-per-print,Electricity (per print),Overhead,,,0.5,per_print,0,,
hex-bolt-m10x40,Hex Bolt M10x40,Hardware,,,0.5,each,0,,
hex-bolt-m8x30,Hex Bolt M8x30,Hardware,,,0.35,each,0,,
hex-bolt-m8x40,Hex Bolt M8x40,Hardware,,,0.4,each,0,,
m8-socket-head-cap-screws-40mm,M8-1.25 x 40MM Black,Hardware,,,0.84,each,15,,
makita-connector,Makita Battery Connector,Electronics,,,7.5,each,0,,
milwaukee-connector,Milwaukee Battery Connector,Electronics,,,8.5,each,0,,
m10-m10-nylock,M10 Nylock Nut,Hardware,,,0.2,each,0,,
nut-m8-nylock,M8 Nylock Nut,Hardware,,,0.15,each,0,,
packing-peanuts,Packing Peanuts,Packaging,,,0.5,per_order,0,,
petg-black-100g,PETG Black (100g),Filament,PETG,Black,2.1,per_100g,0,,
pla-black-100g,PLA Black (100g),Filament,PLA,Black,1.4,per_100g,0,,
pla-red-100g,PLA Red (100g),Filament,PLA,Red,1.5,per_100g,0,,
pla-white-100g,PLA White (100g),Filament,PLA,White,1.4,per_100g,0,,
print-time-1hr,Print Time (1 hour),Labor,,,5,per_hour,0,,
quality-check,Quality Check,Labor,,,1,per_unit,0,,
thank-you-card,Thank You Card,Packaging,,,0.25,each,0,,
tpu-black-100g,TPU Black (100g),Filament,TPU,Black,2.4,per_100g,0,,
washer-m8-flat,M8 Flat Washer,Hardware,,,0.08,each,0,,
washer-m8-lock,M8 Lock Washer,Hardware,,,0.1,each,15,,
wire-12awg-black-1ft,12 AWG Wire Black (1ft),Electronics,,,0.5,per_foot,15,,
wire-12awg-red-1ft,12 AWG Wire Red (1ft),Electronics,,,0.5,per_foot,15,,
xt60-connector,XT60 Connector,Electronics,,,1.5,pair,0,,
